dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.235485,14.002978,7.210000,7.000000,0.000000,0.000000,0.108100
0.020000,11.374671,14.018053,7.350000,7.000000,0.000000,0.000000,0.107658
0.020000,11.513865,14.033060,7.490000,7.000000,0.000000,0.000000,0.107118
0.020000,11.653067,14.047985,7.630000,7.000000,0.000000,0.000000,0.106482
0.020000,11.792279,14.062814,7.770000,7.000000,0.000000,0.000000,0.105748
0.020000,11.931503,14.077534,7.910000,7.000000,0.000000,0.000000,0.104918
0.020000,12.070740,14.092132,8.050000,7.000000,0.000000,0.000000,0.103990
0.020000,12.209991,14.106595,8.190000,7.000000,0.000000,0.000000,0.102964
0.020000,12.349257,14.120907,8.330000,7.000000,0.000000,0.000000,0.101842
0.020000,12.488541,14.135056,8.470000,7.000000,0.000000,0.000000,0.100622
0.020000,12.627842,14.149029,8.610000,7.000000,0.000000,0.000000,0.099305
0.020000,12.767162,14.162812,8.750000,7.000000,0.000000,0.000000,0.097890
0.020000,12.906501,14.176390,8.890000,7.000000,0.000000,0.000000,0.096379
0.020000,13.045862,14.189751,9.030000,7.000000,0.000000,0.000000,0.094769
0.020000,13.185245,14.202881,9.170000,7.000000,0.000000,0.000000,0.093062
0.020000,13.324651,14.215767,9.310000,7.000000,0.000000,0.000000,0.091258
0.020000,13.464080,14.228394,9.450000,7.000000,0.000000,0.000000,0.089356
0.020000,13.603534,14.240749,9.590000,7.000000,0.000000,0.000000,0.087357
0.020000,13.743013,14.252818,9.730000,7.000000,0.000000,0.000000,0.085260
0.020000,13.882517,14.264588,9.870000,7.000000,0.000000,0.000000,0.083065
0.020000,14.022048,14.276045,10.010000,7.000000,0.000000,0.000000,0.080773
0.020000,14.161441,14.287162,10.149836,6.983625,-0.818758,-40.937894,0.078387
0.020000,14.299889,14.297867,10.288697,6.902435,-4.059499,-162.037037,0.075920
0.020000,14.436260,14.308068,10.425449,6.772805,-6.481481,-121.099143,0.073398
0.020000,14.570071,14.317735,10.559609,6.643176,-6.481481,0.000000,0.070832
0.020000,14.701320,14.326877,10.691176,6.513546,-6.481481,-0.000000,0.068230
0.020000,14.830006,14.335501,10.820151,6.383916,-6.481481,0.000000,0.065595
0.020000,14.956127,14.343619,10.946533,6.254287,-6.481481,-0.000000,0.062933
0.020000,15.079682,14.351239,11.070322,6.124657,-6.481481,0.000000,0.060249
0.020000,15.200668,14.358374,11.191519,5.995027,-6.481481,-0.000000,0.057548
0.020000,15.319085,14.365035,11.310123,5.865398,-6.481481,0.000000,0.054833
0.020000,15.434931,14.371236,11.426135,5.735768,-6.481481,0.000000,0.052111
0.020000,15.548204,14.376990,11.539554,5.606139,-6.481481,-0.000000,0.049386
0.020000,15.658903,14.382311,11.650381,5.476509,-6.481481,0.000000,0.046661
0.020000,15.767026,14.387213,11.758615,5.346879,-6.481481,0.000000,0.043942
0.020000,15.872571,14.391711,11.864256,5.217250,-6.481481,0.000000,0.041233
0.020000,15.975538,14.395821,11.967305,5.087620,-6.481481,0.000000,0.038537
0.020000,16.075924,14.399557,12.067761,4.957990,-6.481481,0.000000,0.035859
0.020000,16.173729,14.402936,12.165624,4.828361,-6.481481,0.000000,0.033203
0.020000,16.268952,14.405974,12.260895,4.698731,-6.481481,-0.000000,0.030572
0.020000,16.361590,14.408687,12.353573,4.569102,-6.481481,-0.000000,0.027970
0.020000,16.451644,14.411091,12.443659,4.439472,-6.481481,0.000000,0.025402
0.020000,16.539112,14.413203,12.531152,4.309842,-6.481481,-0.000000,0.022869
0.020000,16.623992,14.415038,12.616053,4.180213,-6.481481,0.000000,0.020376
0.020000,16.706285,14.416615,12.698361,4.050583,-6.481481,-0.000000,0.017926
0.020000,16.785989,14.417948,12.778076,3.920953,-6.481481,0.000000,0.015523
0.020000,16.863104,14.419055,12.855199,3.791324,-6.481481,0.000000,0.013168
0.020000,16.937629,14.419950,12.929729,3.661694,-6.481481,-0.000000,0.010866
0.020000,17.009563,14.420651,13.001667,3.532064,-6.481481,0.000000,0.008618
0.020000,17.078906,14.421173,13.071012,3.402435,-6.481481,0.000000,0.006429
0.020000,17.145658,14.421531,13.137764,3.272805,-6.481481,0.000000,0.004299
0.020000,17.209817,14.421741,13.201924,3.143176,-6.481481,-0.000000,0.002233
0.020000,17.271384,14.421817,13.263491,3.013546,-6.481481,0.000000,0.000231
0.020000,17.330359,14.421774,13.322466,2.883916,-6.481481,-0.000000,6.281483
0.020000,17.386741,14.421625,13.378848,2.754287,-6.481481,0.000000,6.279619
0.020000,17.440529,14.421385,13.432637,2.624657,-6.481481,0.000000,6.277827
0.020000,17.491725,14.421067,13.483834,2.495027,-6.481481,0.000000,6.276108
0.020000,17.540328,14.420683,13.532438,2.365398,-6.481481,-0.000000,6.274466
0.020000,17.586338,14.420246,13.578450,2.235768,-6.481481,0.000000,6.272900
0.020000,17.629754,14.419767,13.621869,2.106139,-6.481481,-0.000000,6.271415
0.020000,17.670577,14.419258,13.662695,1.976509,-6.481481,0.000000,6.270009
0.020000,17.708808,14.418729,13.700929,1.846879,-6.481481,-0.000000,6.268687
0.020000,17.744445,14.418190,13.736571,1.717250,-6.481481,0.000000,6.267447
0.020000,17.777489,14.417651,13.769619,1.587620,-6.481481,-0.000000,6.266293
0.020000,17.807941,14.417120,13.800075,1.457990,-6.481481,0.000000,6.265225
0.020000,17.835799,14.416606,13.827939,1.328361,-6.481481,-0.000000,6.264244
0.020000,17.861065,14.416116,13.853210,1.198731,-6.481481,0.000000,6.263351
0.020000,17.883739,14.415657,13.875888,1.069102,-6.481481,0.000000,6.262547
0.020000,17.903820,14.415236,13.895974,0.939472,-6.481481,-0.000000,6.261834
0.020000,17.921309,14.414857,13.913467,0.809842,-6.481481,-0.000000,6.261211
0.020000,17.936206,14.414525,13.928368,0.680213,-6.481481,0.000000,6.260679
0.020000,17.948511,14.414246,13.940676,0.550583,-6.481481,0.000000,6.260239
0.020000,17.958224,14.414021,13.950391,0.420953,-6.481481,-0.000000,6.259891
0.020000,17.965345,14.413854,13.957514,0.291324,-6.481481,0.000000,6.259636
0.020000,17.969874,14.413747,13.962044,0.161694,-6.481481,0.000000,6.259473
0.020000,17.971974,14.413697,13.964145,0.048440,-5.662724,40.937894,6.259398
0.020000,17.972459,14.413686,13.964630,0.000000,-2.421983,162.037037,6.259380
0.020000,17.972459,14.413686,13.964630,0.000000,0.000000,121.099143,6.259380
