dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.111844,15.142289,7.072875,7.019775,0.278138,0.001362,0.108100
0.020000,11.251534,15.157418,7.213381,7.025338,0.278175,0.001879,0.107658
0.020000,11.391342,15.172491,7.353999,7.030903,0.278223,0.002374,0.107118
0.020000,11.531269,15.187494,7.494729,7.036468,0.278279,0.002841,0.106482
0.020000,11.671317,15.202412,7.635570,7.042035,0.278347,0.003356,0.105748
0.020000,11.811488,15.217233,7.776522,7.047604,0.278421,0.003703,0.104918
0.020000,11.951783,15.231942,7.917585,7.053174,0.278499,0.003919,0.103990
0.020000,12.092202,15.246525,8.058760,7.058745,0.278585,0.004293,0.102964
0.020000,12.232748,15.260969,8.200046,7.064319,0.278675,0.004523,0.101842
0.020000,12.373422,15.275260,8.341444,7.069894,0.278769,0.004686,0.100622
0.020000,12.514225,15.289383,8.482954,7.075472,0.278865,0.004777,0.099305
0.020000,12.655158,15.303325,8.624575,7.081051,0.278960,0.004788,0.097890
0.020000,12.796223,15.317072,8.766307,7.086632,0.279055,0.004714,0.096379
0.020000,12.937419,15.330609,8.908152,7.092215,0.279146,0.004548,0.094769
0.020000,13.078750,15.343922,9.050108,7.097799,0.279231,0.004284,0.093062
0.020000,13.220214,15.356998,9.192175,7.103386,0.279310,0.003914,0.091258
0.020000,13.361814,15.369821,9.334355,7.108973,0.279378,0.003433,0.089356
0.020000,13.503551,15.382379,9.476646,7.114562,0.279435,0.002834,0.087357
0.020000,13.645423,15.394655,9.619049,7.120151,0.279477,0.002111,0.085260
0.020000,13.787434,15.406636,9.761564,7.125741,0.279502,0.001257,0.083065
0.020000,13.929582,15.418308,9.904191,7.131332,0.279508,0.000265,0.080773
0.020000,14.071702,15.429643,10.046762,7.128570,-0.138059,-20.878338,0.078387
0.020000,14.212967,15.440565,10.188449,7.084351,-2.210952,-103.644639,0.075920
0.020000,14.352222,15.450982,10.328092,6.982168,-5.109145,-144.909674,0.073398
0.020000,14.488965,15.460862,10.465192,6.854977,-6.359560,-62.520748,0.070832
0.020000,14.623189,15.470211,10.599742,6.727486,-6.374538,-0.748893,0.068230
0.020000,14.754888,15.479037,10.731736,6.599701,-6.389258,-0.736001,0.065595
0.020000,14.884053,15.487350,10.861168,6.471627,-6.403695,-0.721857,0.062933
0.020000,15.010678,15.495160,10.988034,6.343270,-6.417862,-0.708339,0.060249
0.020000,15.134755,15.502477,11.112326,6.214635,-6.431741,-0.693961,0.057548
0.020000,15.256278,15.509313,11.234041,6.085729,-6.445331,-0.679467,0.054833
0.020000,15.375239,15.515681,11.353172,5.956555,-6.458669,-0.666936,0.052111
0.020000,15.491631,15.521593,11.469714,5.827122,-6.471683,-0.650699,0.049386
0.020000,15.605448,15.527064,11.583663,5.697434,-6.484406,-0.636107,0.046661
0.020000,15.716684,15.532107,11.695013,5.567497,-6.496830,-0.621230,0.043942
0.020000,15.825332,15.536737,11.803759,5.437316,-6.509049,-0.610952,0.041233
0.020000,15.931385,15.540970,11.909897,5.306901,-6.520761,-0.585600,0.038537
0.020000,16.034839,15.544820,12.013422,5.176252,-6.532449,-0.584395,0.035859
0.020000,16.135686,15.548305,12.114330,5.045380,-6.543581,-0.556587,0.033203
0.020000,16.233922,15.551438,12.212616,4.914290,-6.554505,-0.546191,0.030572
0.020000,16.329540,15.554238,12.308275,4.782985,-6.565235,-0.536522,0.027970
0.020000,16.422537,15.556721,12.401305,4.651477,-6.575407,-0.508605,0.025402
0.020000,16.512906,15.558903,12.491700,4.519766,-6.585536,-0.506432,0.022869
0.020000,16.600643,15.560801,12.579458,4.387864,-6.595134,-0.479915,0.020376
0.020000,16.685742,15.562431,12.664573,4.255773,-6.604543,-0.470427,0.017926
0.020000,16.768201,15.563810,12.747043,4.123502,-6.613564,-0.451059,0.015523
0.020000,16.848014,15.564955,12.826864,3.991052,-6.622483,-0.445938,0.013168
0.020000,16.925177,15.565883,12.904033,3.858438,-6.630676,-0.409659,0.010866
0.020000,16.999687,15.566609,12.978546,3.725657,-6.639089,-0.420666,0.008618
0.020000,17.071539,15.567150,13.050401,3.592722,-6.646731,-0.382100,0.006429
0.020000,17.140731,15.567521,13.119593,3.459635,-6.654331,-0.379993,0.004299
0.020000,17.207258,15.567738,13.186121,3.326404,-6.661576,-0.362225,0.002233
0.020000,17.271119,15.567817,13.249982,3.193038,-6.668273,-0.334891,0.000231
0.020000,17.332310,15.567772,13.311173,3.059537,-6.675079,-0.340280,6.281483
0.020000,17.390828,15.567618,13.369691,2.925910,-6.681358,-0.313934,6.279619
0.020000,17.446671,15.567369,13.425534,2.792165,-6.687258,-0.294996,6.277827
0.020000,17.499836,15.567038,13.478700,2.658300,-6.693209,-0.297583,6.276108
0.020000,17.550321,15.566640,13.529187,2.524336,-6.698218,-0.250420,6.274466
0.020000,17.598124,15.566185,13.576992,2.390261,-6.703732,-0.275738,6.272900
0.020000,17.643243,15.565688,13.622114,2.256096,-6.708285,-0.227634,6.271415
0.020000,17.685676,15.565158,13.664551,2.121838,-6.712897,-0.230613,6.270009
0.020000,17.725423,15.564609,13.704301,1.987496,-6.717080,-0.209117,6.268687
0.020000,17.762480,15.564048,13.741362,1.853071,-6.721259,-0.208990,6.267447
0.020000,17.796847,15.563487,13.775734,1.718578,-6.724643,-0.169176,6.266293
0.020000,17.828522,15.562935,13.807414,1.584010,-6.728417,-0.188718,6.265225
0.020000,17.857505,15.562401,13.836402,1.449385,-6.731248,-0.141511,6.264244
0.020000,17.883794,15.561891,13.862696,1.314703,-6.734090,-0.142135,6.263351
0.020000,17.907388,15.561413,13.886295,1.179962,-6.737042,-0.147601,6.262547
0.020000,17.928288,15.560975,13.907199,1.045185,-6.738834,-0.089605,6.261834
0.020000,17.946490,15.560580,13.925406,0.910358,-6.741363,-0.126445,6.261211
0.020000,17.961997,15.560235,13.940916,0.775502,-6.742813,-0.072475,6.260679
0.020000,17.974806,15.559944,13.953728,0.640614,-6.744381,-0.078399,6.260239
0.020000,17.984917,15.559710,13.963842,0.505704,-6.745541,-0.058022,6.259891
0.020000,17.992330,15.559537,13.971258,0.370763,-6.747007,-0.073291,6.259636
0.020000,17.997045,15.559425,13.975974,0.235822,-6.747091,-0.004218,6.259473
0.020000,17.999232,15.559373,13.978162,0.109390,-6.321598,21.274675,6.259398
0.020000,17.999737,15.559361,13.978666,0.025217,-4.208651,105.647341,6.259380
0.020000,17.999737,15.559361,13.978666,0.000000,-1.260828,147.391162,6.259380
